2025-04-06 12:28:53,327 INFO    MainThread:9320 [wandb_setup.py:_flush():68] Current SDK version is 0.19.2
2025-04-06 12:28:53,328 INFO    MainThread:9320 [wandb_setup.py:_flush():68] Configure stats pid to 9320
2025-04-06 12:28:53,328 INFO    MainThread:9320 [wandb_setup.py:_flush():68] Loading settings from /Users/arigranevich/.config/wandb/settings
2025-04-06 12:28:53,328 INFO    MainThread:9320 [wandb_setup.py:_flush():68] Loading settings from /Users/arigranevich/Developer/Research/Diffusion/finalDiffusion/wandb/settings
2025-04-06 12:28:53,328 INFO    MainThread:9320 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-04-06 12:28:53,328 INFO    MainThread:9320 [wandb_init.py:_log_setup():523] Logging user logs to /Users/arigranevich/Developer/Research/Diffusion/finalDiffusion/wandb/run-20250406_122853-5e4v7isl/logs/debug.log
2025-04-06 12:28:53,328 INFO    MainThread:9320 [wandb_init.py:_log_setup():524] Logging internal logs to /Users/arigranevich/Developer/Research/Diffusion/finalDiffusion/wandb/run-20250406_122853-5e4v7isl/logs/debug-internal.log
2025-04-06 12:28:53,328 INFO    MainThread:9320 [wandb_init.py:_jupyter_setup():469] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x103ddfa30>
2025-04-06 12:28:53,329 INFO    MainThread:9320 [wandb_init.py:init():641] calling init triggers
2025-04-06 12:28:53,329 INFO    MainThread:9320 [wandb_init.py:init():647] wandb.init called with sweep_config: {}
config: {'SNR': 10, 'CNR': 15, 'max_lr': 0.001, 'beta_end': 0.02, 'final_lr': 1e-05, 'num_heads': 8, 'beta_start': 0.0001, 'num_layers': 6, 'batch_size': 16, 'num_epochs': 600, 'noise_steps': 2000, 'num_workers': 4, 'weight_decay': 0.0001, 'warmup_steps': 4000, 'dataset_size': 500, 'time_emb_dim': 256, 'learning_rate': 1e-05, 'scheduler_type': 'linear'}
2025-04-06 12:28:53,329 INFO    MainThread:9320 [wandb_init.py:init():674] starting backend
2025-04-06 12:28:53,559 INFO    MainThread:9320 [wandb_init.py:init():678] sending inform_init request
2025-04-06 12:28:53,572 INFO    MainThread:9320 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-04-06 12:28:53,572 INFO    MainThread:9320 [wandb_init.py:init():693] backend started and connected
2025-04-06 12:28:53,575 INFO    MainThread:9320 [wandb_run.py:_label_probe_notebook():1226] probe notebook
2025-04-06 12:28:53,575 INFO    MainThread:9320 [wandb_init.py:init():786] updated telemetry
2025-04-06 12:28:53,587 INFO    MainThread:9320 [wandb_init.py:init():818] communicating run to backend with 90.0 second timeout
2025-04-06 12:28:53,948 INFO    MainThread:9320 [wandb_init.py:init():868] starting run threads in backend
2025-04-06 12:28:54,009 INFO    MainThread:9320 [wandb_run.py:_console_start():2415] atexit reg
2025-04-06 12:28:54,009 INFO    MainThread:9320 [wandb_run.py:_redirect():2265] redirect: wrap_raw
2025-04-06 12:28:54,009 INFO    MainThread:9320 [wandb_run.py:_redirect():2330] Wrapping output streams.
2025-04-06 12:28:54,009 INFO    MainThread:9320 [wandb_run.py:_redirect():2355] Redirects installed.
2025-04-06 12:28:54,011 INFO    MainThread:9320 [wandb_init.py:init():910] run started, returning control to user process
2025-04-06 12:28:54,011 INFO    MainThread:9320 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-04-06 12:28:54,011 INFO    MainThread:9320 [wandb_init.py:_pause_backend():434] pausing backend
2025-04-06 12:28:54,014 INFO    MainThread:9320 [wandb_init.py:_resume_backend():439] resuming backend
2025-04-06 12:28:55,544 INFO    MainThread:9320 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-04-06 12:28:55,544 INFO    MainThread:9320 [wandb_init.py:_pause_backend():434] pausing backend
2025-04-06 12:28:55,547 INFO    MainThread:9320 [wandb_init.py:_resume_backend():439] resuming backend
2025-04-06 12:29:00,381 INFO    MainThread:9320 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-04-06 12:29:00,381 INFO    MainThread:9320 [wandb_init.py:_pause_backend():434] pausing backend
2025-04-06 12:29:00,386 INFO    MainThread:9320 [wandb_init.py:_resume_backend():439] resuming backend
2025-04-06 12:30:58,985 INFO    MainThread:9320 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-04-06 12:30:58,986 INFO    MainThread:9320 [wandb_init.py:_pause_backend():434] pausing backend
